id,name,maxdate,mindate,latitude,elevation,longitude,datacoverage,elevationUnit
GHCND:AEM00041217,"ABU DHABI INTERNATIONAL, AE",2021-03-10,1983-01-02,24.433,26.8,54.651,0.9976,METERS
GHCND:AG000060390,"ALGER DAR EL BEIDA, AG",2021-03-10,1940-01-01,36.7167,24.0,3.25,0.8953,METERS
GHCND:ASN00007160,"PAROO, AS",2020-12-31,1968-01-01,-26.2628,500.0,119.7639,0.7651,METERS
GHCND:AG000060611,"IN AMENAS, AG",2021-03-10,1958-10-01,28.05,561.0,9.6331,0.9259,METERS
GHCND:AEM00041194,"DUBAI INTERNATIONAL, AE",2021-03-10,1983-01-01,25.255,10.4,55.364,0.9992,METERS
GHCND:AGM00060351,"JIJEL, AG",2021-03-10,1981-11-01,36.795,11.0,5.874,0.9282,METERS
GHCND:AGM00060402,"SOUMMAM, AG",2021-03-10,1973-01-01,36.712,6.1,5.07,0.9638,METERS
GHCND:AGM00060468,"BATNA, AG",2021-03-10,1973-04-03,35.55,1052.0,6.183,0.8723,METERS
GHCND:AGM00060490,"ES SENIA, AG",2021-03-10,1957-01-01,35.624,89.9,-0.621,0.8657,METERS
GHCND:AGM00060511,"BOU CHEKIF, AG",2021-03-10,1983-05-21,35.341,989.1,1.463,0.9615,METERS
GHCND:AGM00060515,"BOU SAADA, AG",2021-03-10,1984-03-02,35.333,459.0,4.206,0.8297,METERS
GHCND:AGM00060531,"ZENATA, AG",2021-03-10,1981-01-01,35.017,248.1,-1.45,0.9898,METERS
GHCND:AGM00060444,"BORDJ BOU ARRERIDJ, AG",2021-03-10,1979-10-01,36.067,930.0,4.767,0.9217,METERS
GHCND:AGM00060559,"GUEMAR, AG",2021-03-10,1965-09-13,33.511,61.9,6.777,0.8522,METERS
GHCND:AGM00060560,"AIN SEFRA, AG",2021-03-10,1981-01-01,32.767,1059.0,-0.6,0.9114,METERS
GHCND:AGM00060566,"NOUMERAT, AG",2021-03-10,1965-10-01,32.384,460.9,3.794,0.8642,METERS
GHCND:AGM00060571,"BECHAR, AG",2021-03-10,1957-01-09,31.646,811.1,-2.27,0.8339,METERS
