cc,id,name,maxdate,mindate,latitude,elevation,longitude,datacoverage,elevationUnit
AE,GHCND:AE000041196,"SHARJAH INTER. AIRP, AE",2021-07-19,1944-03-20,25.333,34.0,55.517,0.7343,METERS
AE,GHCND:AEM00041194,"DUBAI INTERNATIONAL, AE",2021-07-19,1983-01-01,25.255,10.4,55.364,0.9991,METERS
AE,GHCND:AEM00041217,"ABU DHABI INTERNATIONAL, AE",2021-07-19,1983-01-02,24.433,26.8,54.651,0.9977,METERS
AF,GHCND:AFM00040938,"HERAT, AF",2021-07-19,1973-01-02,34.21,977.2,62.228,0.4903,METERS
AF,GHCND:AFM00040948,"KABUL INTERNATIONAL, AF",2021-07-19,1966-03-02,34.566,1791.3,69.212,0.5768,METERS
AF,GHCND:AFM00040990,"KANDAHAR AIRPORT, AF",2020-12-31,1973-01-02,31.5,1010.0,65.85,0.4906,METERS
AF,GHCND:PKM00041710,"NOKKUNDI, PK",2021-07-19,1973-01-02,28.817,683.0,62.75,0.6234,METERS
AF,GHCND:TX000038915,"CARSANGA, TX",2021-07-19,1937-11-18,37.517,265.0,66.017,0.7168,METERS
DZ,GHCND:AGM00060444,"BORDJ BOU ARRERIDJ, AG",2021-07-19,1979-10-01,36.067,930.0,4.767,0.9223,METERS
DZ,GHCND:AG000060590,"EL GOLEA, AG",2021-07-19,1892-01-01,30.5667,397.0,2.8667,0.7238,METERS
DZ,GHCND:AG000060611,"IN AMENAS, AG",2021-07-19,1958-10-01,28.05,561.0,9.6331,0.9254,METERS
DZ,GHCND:AGM00060536,"SAIDA, AG",2021-07-19,1981-01-01,34.867,752.0,0.15,0.6208,METERS
DZ,GHCND:AGM00060559,"GUEMAR, AG",2021-07-19,1965-09-13,33.511,61.9,6.777,0.8531,METERS
DZ,GHCND:AGM00060566,"NOUMERAT, AG",2021-07-19,1965-10-01,32.384,460.9,3.794,0.8651,METERS
DZ,GHCND:AGM00060571,"BECHAR, AG",2021-07-19,1957-01-09,31.646,811.1,-2.27,0.8348,METERS
DZ,GHCND:AGM00060580,"OUARGLA, AG",2021-07-19,1957-03-19,31.917,150.0,5.413,0.5384,METERS
DZ,GHCND:AGM00060550,"EL BAYADH, AG",2021-07-19,1973-01-05,33.667,1347.0,1.0,0.8971,METERS
DZ,GHCND:AGM00060602,"BENI ABBES, AG",2021-07-19,1973-01-01,30.133,505.0,-2.167,0.8449,METERS
DZ,GHCND:AGM00060607,"TIMIMOUN, AG",2021-07-19,1966-07-23,29.237,313.0,0.276,0.7474,METERS
DZ,GHCND:AGM00060620,"TOUAT CHEIKH SIDI MOHAMED BEL, AG",2021-07-19,1965-09-13,27.838,280.1,-0.186,0.776,METERS
DZ,GHCND:AGM00060640,"ILLIZI TAKHAMALT, AG",2021-07-19,1966-02-07,26.724,541.9,8.623,0.5768,METERS
DZ,GHCND:AGM00060656,"TINDOUF, AG",2021-07-19,1943-03-19,27.7,442.9,-8.167,0.4781,METERS
DZ,GHCND:AGM00060475,"CHEIKH LARBI TEBESSI, AG",2021-07-19,1958-03-30,35.432,811.1,8.121,0.7073,METERS
DZ,GHCND:AGM00060535,"DJELFA TLETSI, AG",2021-07-19,1973-01-01,34.683,1144.0,3.25,0.9201,METERS
DZ,GHCND:AGE00147719,"LAGHOUAT, AG",2021-07-19,1888-01-01,33.7997,767.0,2.89,0.3816,METERS
AU,GHCND:ASN00010018,"BURAKIN, AS",2020-12-31,1926-04-01,-30.5325,360.0,117.1739,0.8083,METERS
AU,GHCND:ASM00094995,"LORD HOWE ISLAND AERO, AS",2021-07-19,1947-12-31,-31.542,7.0,159.079,0.7789,METERS
AU,GHCND:ASN00002013,"IVANHOE STATION, AS",2021-04-29,1907-01-01,-15.69,40.0,128.6833,0.7125,METERS
AU,GHCND:ASN00001007,"TROUGHTON ISLAND, AS",2021-07-20,1956-09-01,-13.7542,6.0,126.1485,0.6318,METERS
AU,GHCND:ASM00094299,"WILLIS ISLAND, AS",2021-07-19,1948-01-01,-16.288,9.0,149.965,0.7803,METERS
AU,GHCND:ASN00002048,"FLORA VALLEY, AS",2021-03-24,1971-01-01,-18.2972,380.0,128.4419,0.6465,METERS
AU,GHCND:ASN00003014,"GOGO STATION, AS",2021-03-08,1908-12-01,-18.2914,150.0,125.5869,0.8608,METERS
AU,GHCND:ASN00004026,"NOREENA DOWNS, AS",2021-03-31,1911-03-01,-22.2914,495.0,120.1761,0.8689,METERS
AU,GHCND:ASN00007083,"TUREE CREEK, AS",2021-06-21,1920-01-01,-23.6239,530.0,118.6561,0.9085,METERS
AU,GHCND:ASN00011008,"MUNDRABILLA STATION, AS",2021-07-17,1903-01-01,-31.8433,20.0,127.8572,0.8505,METERS
AU,GHCND:ASN00011017,"BALLADONIA, AS",2021-07-20,1891-02-01,-32.4569,151.0,123.8653,0.7234,METERS
AU,GHCND:ASN00011019,"EYRE, AS",2021-07-20,1888-02-01,-32.2464,5.6,126.3008,0.5276,METERS
AU,GHCND:ASN00012247,"GINDALBIE, AS",2021-07-20,1918-01-31,-30.2817,380.0,121.7606,0.4961,METERS
AU,GHCND:ASN00012029,"FRASER RANGE, AS",2021-06-15,1901-03-01,-32.0339,460.0,122.8017,0.7885,METERS
AU,GHCND:ASN00012062,"NAMBI, AS",2020-11-30,1922-03-01,-28.3897,490.0,121.6775,0.5865,METERS
AU,GHCND:ASN00013018,"WONGAWOL, AS",2021-07-05,1966-04-01,-26.1208,500.0,121.9403,0.8836,METERS
AU,GHCND:ASN00013011,"WARBURTON AIRFIELD, AS",2021-07-20,1940-11-07,-26.1317,459.0,126.5839,0.7508,METERS
AU,GHCND:ASN00013017,"GILES METEOROLOGICAL OFFICE, AS",2021-07-20,1956-08-01,-25.0341,598.0,128.301,0.9997,METERS
AU,GHCND:ASN00013034,"BARWIDGEE, AS",2021-05-31,1988-01-01,-27.0336,450.0,120.9233,0.4633,METERS
AU,GHCND:ASN00014142,"PIRLANGIMPI, AS",2021-07-20,1963-11-01,-11.4022,18.3,130.4217,0.8611,METERS
AU,GHCND:ASN00014208,"JABIRU COUNCIL, AS",2021-03-31,1983-01-27,-12.6686,31.0,132.8358,0.5523,METERS
AU,GHCND:ASN00014401,"WARRUWI, AS",2021-07-20,1916-12-01,-11.6502,19.2,133.3796,0.9324,METERS
AU,GHCND:ASN00014508,"GOVE AIRPORT, AS",2021-07-20,1944-02-17,-12.2741,51.6,136.8203,0.5748,METERS
AU,GHCND:ASN00014704,"MCARTHUR RIVER MINE, AS",2021-07-20,1968-03-01,-16.4423,40.0,136.076,0.9143,METERS
AU,GHCND:ASN00029069,"WESTMORELAND STATION, AS",2021-03-25,1965-01-01,-17.3383,60.0,138.2508,0.9523,METERS
AU,GHCND:ASN00014719,"NATHAN RIVER, AS",2021-04-29,1979-06-01,-15.5789,30.0,135.4271,0.6553,METERS
AU,GHCND:ASN00049117,"NYMAGEE BALOWRA, AS",2021-06-30,1898-09-01,-32.2479,335.0,146.4856,0.4398,METERS
AU,GHCND:ASN00014857,"SUPLEJACK, AS",2021-03-23,1982-01-01,-19.2798,452.0,129.9422,0.8963,METERS
AU,GHCND:ASN00015123,"BRUNCHILLY, AS",2021-05-05,1968-01-01,-18.8689,250.0,134.4991,0.7435,METERS
AU,GHCND:ASN00015085,"BRUNETTE DOWNS, AS",2021-07-20,1891-01-01,-18.637,218.0,135.945,0.9208,METERS
AU,GHCND:ASN00015501,"YAMBAH, AS",2021-06-23,1968-01-01,-23.1273,700.0,133.836,0.9499,METERS
AU,GHCND:ASN00015660,"ULURU RANGERS, AS",2021-07-16,1970-07-01,-25.3602,530.0,131.0196,0.4074,METERS
AU,GHCND:ASN00015641,"THE GRANITES, AS",2021-06-23,1986-09-12,-20.5476,430.0,130.3466,0.8312,METERS
AU,GHCND:ASN00015585,"AMMAROO, AS",2021-06-30,1956-01-01,-21.7498,396.0,135.2382,0.9524,METERS
AU,GHCND:ASN00015611,"NEWHAVEN, AS",2021-07-19,1962-01-01,-22.7228,609.0,131.1685,0.92,METERS
AU,GHCND:ASN00015624,"VICTORY DOWNS, AS",2020-11-30,1945-01-01,-25.9891,549.3,132.9748,0.7657,METERS
AU,GHCND:ASN00015652,"WATARRKA, AS",2021-07-20,1990-05-01,-24.2914,614.0,131.5488,0.932,METERS
AU,GHCND:ASN00016047,"TODMORDEN, AS",2021-07-15,1949-05-01,-27.1391,200.0,134.7575,0.8842,METERS
AU,GHCND:ASN00017004,"ANNA CREEK, AS",2021-06-23,1883-01-01,-28.8921,105.0,136.1688,0.8222,METERS
AU,GHCND:ASN00045029,"ORIENTOS STATION, AS",2021-06-24,1965-08-01,-28.0722,92.0,141.5317,0.9763,METERS
AU,GHCND:ASN00017089,"MUNGERANIE KALAMURINA, AS",2021-07-16,1884-10-01,-27.7205,5.0,138.2548,0.2507,METERS
AU,GHCND:ASN00017115,"CAMERON CORNER LINDON, AS",2020-10-24,1987-10-01,-29.1266,110.0,140.9018,0.9356,METERS
AU,GHCND:ASN00018106,"NULLARBOR, AS",2021-07-20,1889-02-01,-31.4492,64.0,130.8976,0.5283,METERS
AU,GHCND:ASN00018110,"COOK, AS",2021-07-19,1918-02-01,-30.6143,120.0,130.4136,0.9192,METERS
AU,GHCND:ASN00018114,"MARALINGA, AS",2021-07-18,1955-05-23,-30.1591,290.0,131.579,0.7792,METERS
AU,GHCND:ASN00027044,"MERLUNA, AS",2021-04-09,1913-01-01,-13.0658,80.0,142.4511,0.5754,METERS
AU,GHCND:ASN00027031,"BAMAGA, AS",2021-01-31,1960-07-01,-10.8969,58.0,142.3844,0.5831,METERS
AU,GHCND:ASN00014153,"BLACK POINT, AS",2021-07-20,1965-01-01,-11.1538,5.0,132.143,0.9583,METERS
AU,GHCND:ASN00046052,"WANAARING OWEN DOWNS, AS",2021-06-24,1956-01-01,-29.4089,115.0,143.3808,0.9701,METERS
AU,GHCND:ASN00038009,"GLENGYLE, AS",2021-06-30,1914-03-01,-24.7856,72.0,139.5919,0.8464,METERS
AU,GHCND:ASN00038031,"DURRIE STATION, AS",2021-06-23,1913-06-01,-25.65,80.0,140.2333,0.2228,METERS
AU,GHCND:AYM00089606,"VOSTOK, AY",2021-07-19,1973-01-01,-78.45,3488.0,106.867,0.677,METERS
AU,GHCND:AYM00089611,CASEY,2021-07-19,1969-03-01,-66.283,41.0,110.517,0.9245,METERS
AU,GHCND:AYM00089832,"D 10, AY",2021-07-18,1990-05-12,-66.717,243.0,139.833,0.2792,METERS
AU,GHCND:AYM00089828,"DOME C II, AY",2021-07-19,1990-05-10,-75.117,3250.0,123.367,0.8862,METERS
AU,GHCND:ASN00029012,"CROYDON TOWNSHIP, AS",2021-05-01,1889-02-01,-18.2044,115.5,142.2447,0.9913,METERS
AU,GHCND:ASN00029048,"VANROOK STATION, AS",2021-03-18,1921-12-01,-16.9683,35.0,141.9547,0.873,METERS
AU,GHCND:ASN00030081,"BURLEIGH STATION, AS",2020-12-31,1969-07-01,-20.2631,250.0,143.1097,0.7732,METERS
AU,GHCND:ASN00013030,"TELFER AERO, AS",2021-07-20,1974-01-01,-21.7125,291.9,122.2281,0.9769,METERS
US,GHCND:USC00144357,"KIRWIN DAM, KS US",2021-04-30,1952-05-01,39.6619,517.2,-99.1228,0.9125,METERS
US,GHCND:USC00515842,"MAKENA GOLF COURSE 249.1, HI US",2021-04-17,1982-05-01,20.6419,26.8,-156.44,0.8886,METERS
US,GHCND:USC00511038,"HALENANAHO 1006, HI US",2021-04-30,1942-07-01,21.9649,149.4,-159.4297,0.7763,METERS
US,GHCND:USS0046P01S,"MUNSON RIDGE, AK US",2021-07-19,1980-09-30,64.85,944.9,-146.21,0.9977,METERS
US,GHCND:USR0000AJAT,"JATAHMUND LAKE ALASKA, AK US",2021-07-20,1990-07-02,62.6,701.0,-142.0833,0.8234,METERS
US,GHCND:USC00509869,"WISEMAN, AK US",2021-07-20,1918-11-01,67.40822,360.0,-150.10958,0.3586,METERS
US,GHCND:USS0049L19S,"SUMMIT CREEK, AK US",2021-07-19,1989-09-30,60.62,426.7,-149.53,0.999,METERS
US,GHCND:USC00500464,"AUKE BAY, AK US",2021-07-19,1963-02-01,58.3814,13.4,-134.645,0.9653,METERS
US,GHCND:USC00505884,"MONASHKA CREEK DAM, AK US",2021-03-31,1909-09-01,57.8426,39.6,-152.4585,0.1431,METERS
US,GHCND:USW00025713,"SAINT PAUL ISLAND AIRPORT, AK US",2021-07-20,1915-08-08,57.1552,10.7,-170.2222,0.9787,METERS
US,GHCND:CA005031320,"INDIAN BAY, CA",2021-07-19,1915-04-01,49.6167,327.0,-95.2,0.9764,METERS
US,GHCND:CA001054500,"LANGARA, CA",2021-07-19,1936-07-23,54.25,43.0,-133.05,0.9913,METERS
US,GHCND:USC00082418,"DRY TORTUGAS, US",2021-07-15,1950-07-01,24.62787,0.9,-82.87362,0.5891,METERS
US,GHCND:USC00213417,"GUNFLINT LAKE 10 NW, MN US",2021-07-20,1951-08-27,48.1603,443.5,-90.8842,0.7211,METERS
US,GHCND:USW00026425,"GULKANA AIRPORT, AK US",2021-07-20,1907-03-02,62.1591,476.1,-145.4588,0.7214,METERS
US,GHCND:USC00505136,"KUPARUK, AK US",2021-04-30,1983-02-01,70.3289,19.5,-149.6114,0.9801,METERS
US,GHCND:USC00505881,"MINCHUMINA, AK US",2021-04-30,1945-01-01,63.9033,312.4,-152.2816,0.7863,METERS
US,GHCND:USC00507570,"PORT ALSWORTH, AK US",2021-04-30,1960-07-01,60.2036,79.2,-154.3163,0.9652,METERS
US,GHCND:USC00507783,"PUNTILLA, AK US",2021-07-19,1942-01-01,62.0911,566.3,-152.7349,0.8708,METERS
US,GHCND:USR0000ABEV,"BEAVER WBQ ALASKA, AK US",2021-07-20,1990-05-29,66.2667,147.2,-146.5167,0.6618,METERS
US,GHCND:USR0000AKOY,"KOYUKUK NWR ALASKA, AK US",2021-07-20,1990-07-16,66.0083,30.5,-157.57,0.8009,METERS
US,GHCND:USR0000AHEL,"HELMUT MOUNTAIN ALASKA, AK US",2021-07-20,1988-09-22,67.7414,853.4,-144.1225,0.6986,METERS
US,GHCND:USR0000ATHO,"THORNE BAY ALASKA, AK US",2021-07-20,1989-09-25,55.75,548.6,-132.9833,0.5343,METERS
US,GHCND:USR0000AHAY,"HAYCOCK ALASKA, AK US",2021-07-20,1988-05-22,65.2017,53.9,-161.155,0.7893,METERS
US,GHCND:USR0000AINN,"INNOKO FLATS ALASKA, AK US",2021-07-20,1988-03-30,63.39,283.5,-158.8167,0.7453,METERS
US,GHCND:USR0000AKIL,"KILBUCK ALASKA, AK US",2021-07-20,1991-07-15,60.32,582.2,-160.2,0.8877,METERS
US,GHCND:USR0000ANOA,"NOATAK ALASKA, AK US",2021-07-20,1990-04-23,68.0708,300.2,-158.7042,0.8303,METERS
US,GHCND:USR0000APOO,"POORMAN ALASKA, AK US",2021-07-20,1988-06-02,64.105,285.0,-155.5583,0.8162,METERS
US,GHCND:USR0000ASEV,"SEVEN MILE ALASKA, AK US",2021-07-20,1988-03-24,65.9383,250.9,-149.855,0.9165,METERS
US,GHCND:USR0000ASTR,"STONEY RIVER ALASKA, AK US",2021-07-20,1990-09-24,61.6467,80.8,-156.4333,0.8213,METERS
US,GHCND:USC00501684,"CHICKEN, AK US",2021-07-19,1911-05-30,64.0917,548.6,-141.9211,0.2467,METERS
US,GHCND:USC00502587,"DUTCH HARBOR, AK US",2021-07-19,1915-05-01,53.895,3.0,-166.5433,0.6495,METERS
US,GHCND:USW00003940,"JACKSON INTERNATIONAL AIRPORT, MS US",2021-07-20,1942-09-01,32.3205,100.6,-90.0777,0.7357,METERS
US,GHCND:USW00025503,"KING SALMON AIRPORT, AK US",2021-07-20,1942-01-12,58.6829,20.4,-156.6563,0.9755,METERS
US,GHCND:USW00025624,"COLD BAY AIRPORT, AK US",2021-07-20,1942-03-25,55.2207,23.8,-162.7324,0.8976,METERS
US,GHCND:USW00026410,"CORDOVA AIRPORT, AK US",2021-07-18,1909-05-05,60.4888,9.4,-145.4511,0.9549,METERS
US,GHCND:USW00026510,"MCGRATH AIRPORT, AK US",2021-07-19,1939-04-01,62.9574,101.5,-155.6103,0.997,METERS
US,GHCND:USW00026615,"BETHEL AIRPORT, AK US",2021-07-20,1923-08-01,60.785,31.1,-161.8293,0.9986,METERS
US,GHCND:USW00026617,"NOME AIRPORT, AK US",2021-07-20,1900-08-01,64.5111,4.0,-165.44,0.947,METERS
US,GHCND:USW00027401,"BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US",2021-07-15,1947-09-23,70.13389,14.9,-143.57694,0.6365,METERS
US,GHCND:USW00027502,"BARROW AIRPORT, AK US",2021-07-20,1901-09-01,71.2834,9.4,-156.7815,0.8818,METERS
US,GHCND:USW00027503,"WAINWRIGHT AIRPORT, AK US",2021-07-15,1935-09-20,70.63917,9.1,-159.995,0.5221,METERS
US,GHCND:USR0000AKEL,"KELLY ALASKA, AK US",2021-07-20,1990-04-23,67.9333,125.6,-162.3,0.8863,METERS
US,GHCND:USR0000AQTZ,"QUARTZ CREEK ALASKA, AK US",2021-07-20,1988-05-18,65.4,130.1,-164.65,0.8187,METERS
US,GHCND:USW00026529,"TANANA AIRPORT, AK US",2021-07-19,1901-08-24,65.175,67.7,-152.1067,0.8779,METERS
LY,GHCND:AGM00060670,"TISKA, AG",2021-07-19,1965-09-14,24.293,968.0,9.452,0.7801,METERS
