cc,id,name,maxdate,mindate,latitude,elevation,longitude,datacoverage,elevationUnit
US,GHCND:USC00115539,"MEDORA 1 S, IL US",2021-07-19,1942-06-01,39.15616,185.0,-90.13918,0.9446,METERS
US,GHCND:USC00347264,"PRAGUE 2 W, OK US",2021-07-19,1943-11-27,35.4876,307.8,-96.7302,0.9798,METERS
US,GHCND:USC00108928,"SWAN FALLS PH, ID US",2021-07-19,1935-07-01,43.2436,708.7,-116.3784,0.9815,METERS
US,GHCND:USC00385946,"MONCKS CORNER 4 N, SC US",2021-07-19,1948-08-01,33.2425,14.9,-79.9869,0.3786,METERS
US,GHCND:USC00386527,"ORANGEBURG 2, SC US",2021-07-18,1919-10-01,33.4889,56.4,-80.8742,0.7691,METERS
US,GHCND:USC00390565,"BELLE FOURCHE 22 NNW, SD US",2021-04-30,1980-05-01,44.9905,975.4,-103.9338,0.8853,METERS
US,GHCND:USC00396636,"PLAINVIEW 6 SSW, SD US",2021-04-30,1949-08-01,44.5169,724.5,-102.2152,0.5629,METERS
US,GHCND:USC00395638,"MISSION 14 S, SD US",2021-07-20,1951-08-04,43.1123,856.5,-100.6111,0.9665,METERS
US,GHCND:USW00003811,"JACKSON MCKELLAR SIPES AIRPORT, TN US",2021-07-19,1948-08-01,35.593,132.0,-88.9167,0.992,METERS
US,GHCND:USC00418646,"STILLHOUSE HOLLOW DAM, TX US",2021-05-31,1963-07-01,31.0372,215.2,-97.5283,0.9698,METERS
US,GHCND:USC00412408,"DENVER CITY, TX US",2021-07-20,1986-05-09,32.9619,1094.2,-102.8219,0.8819,METERS
US,GHCND:USC00417232,"PRADE RANCH, TX US",2021-04-30,1955-10-01,29.9167,625.4,-99.7908,0.8658,METERS
US,GHCND:USC00417743,"ROSCOE, TX US",2021-07-20,1935-06-01,32.44807,725.4,-100.52632,0.9836,METERS
US,GHCND:USC00428978,"UTAH TEST RANGE, UT US",2021-07-19,1989-09-01,41.0498,1353.3,-112.9367,0.8997,METERS
US,GHCND:USC00456039,"ODESSA, WA US",2021-07-17,1902-12-04,47.33294,470.3,-118.69616,0.9787,METERS
US,GHCND:USC00476510,"PESHTIGO, WI US",2021-07-20,1948-08-01,45.02817,182.9,-87.73588,0.4263,METERS
US,GHCND:USC00512960,"KALIHI RES SITE 777, HI US",2021-05-31,1914-09-01,21.3753,277.4,-157.8222,0.8523,METERS
US,GHCND:USC00519376,"WAIKAPU 390, HI US",2021-05-31,1916-08-16,20.8536,147.2,-156.5088,0.5056,METERS
US,GHCND:USC00511038,"HALENANAHO 1006, HI US",2021-04-30,1942-07-01,21.9649,149.4,-159.4297,0.7763,METERS
US,GHCND:USC00516198,"MAUNA LOA SLOPE OBS 39, HI US",2021-07-19,1955-01-01,19.5362,3398.5,-155.5767,0.8455,METERS
US,GHCND:USR0000ABEN,"BEN CREEK ALASKA, AK US",2021-07-20,1990-05-09,65.2833,563.9,-143.0667,0.6889,METERS
US,GHCND:USR0000ACHI,"CHISANA ALASKA, AK US",2021-07-20,1988-07-01,62.1333,1011.3,-142.0833,0.7732,METERS
US,GHCND:USS0010S01S,"WORKMAN CREEK, AZ US",2021-07-19,1978-10-11,33.81,2103.1,-110.92,0.9681,METERS
US,GHCND:USR0000AKAN,"KANUTI NWR ALASKA, AK US",2021-07-20,1990-08-06,66.0933,251.5,-152.17,0.8787,METERS
US,GHCND:USR0000AEMP,"EMPIRE ARIZONA, AZ US",2021-07-20,1988-12-05,31.7806,1417.3,-110.6347,0.9948,METERS
US,GHCND:USR0000ATLA,"T LAKE ALASKA, AK US",2021-05-13,1990-09-24,63.7533,631.9,-143.8167,0.5775,METERS
US,GHCND:USR0000NREB,"RED BUTTE NEVADA, NV US",2021-07-20,1989-10-11,39.9833,1539.2,-117.3167,0.9928,METERS
US,GHCND:USC00484925,"JEFFREY CITY, WY US",2021-06-14,1964-04-10,42.4942,1926.0,-107.82908,0.7555,METERS
US,GHCND:USC00488192,"SHIRLEY BASIN, WY US",2021-03-24,1978-01-01,42.3703,2151.0,-106.1049,0.9349,METERS
US,GHCND:USR0000WGOL,"GOLD MOUNTAIN WASHINGTON, WA US",2021-07-20,1991-04-15,48.1806,1428.3,-118.4636,0.9524,METERS
US,GHCND:USW00023154,"ELY AIRPORT, NV US",2021-07-20,1888-04-01,39.2952,1908.7,-114.8466,0.742,METERS
US,GHCND:USS0049M08S,"INDIAN PASS, AK US",2021-07-19,1979-09-30,61.07,716.3,-149.48,1.0,METERS
US,GHCND:USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",2021-07-20,1960-05-01,29.6919,37.5,-82.2755,0.7706,METERS
US,GHCND:USW00003866,"MERIDIAN NAAS, MS US",2021-07-19,1961-08-01,32.55,82.6,-88.56667,0.9295,METERS
US,GHCND:USW00013899,"PENSACOLA REGIONAL AIRPORT, FL US",2021-07-19,1948-07-01,30.4781,34.1,-87.1869,1.0,METERS
US,GHCND:USW00024106,"MOUNTAIN HOME AFB, ID US",2021-07-18,1949-05-01,43.05,913.2,-115.86667,0.2829,METERS
US,GHCND:USC00503695,"HOONAH, AK US",2021-07-20,1941-05-09,58.1071,39.6,-135.4277,0.3852,METERS
US,GHCND:USC00505884,"MONASHKA CREEK DAM, AK US",2021-03-31,1909-09-01,57.8426,39.6,-152.4585,0.1431,METERS
US,GHCND:USW00025713,"SAINT PAUL ISLAND AIRPORT, AK US",2021-07-20,1915-08-08,57.1552,10.7,-170.2222,0.9787,METERS
US,GHCND:USC00291153,"BRANTLEY DAM, NM US",2021-07-20,1987-08-01,32.5158,979.3,-104.3828,0.8855,METERS
US,GHCND:USC00201486,"CHATHAM EXPERIMENT FARM 2, MI US",2021-07-14,1987-08-01,46.3414,265.2,-86.9242,0.9957,METERS
US,GHCND:USC00245870,"MOORHEAD 9 NE, MT US",2021-07-19,1958-06-18,45.1758,981.5,-105.7516,0.938,METERS
US,GHCND:USR0000MKIN,"KING COULEE MONTANA, MT US",2021-07-20,1987-11-03,47.7981,841.2,-107.0233,0.9937,METERS
US,GHCND:USC00241984,"CONTENT 4 NNE, MT US",2021-04-30,1950-04-01,48.0802,708.7,-107.525,0.724,METERS
US,GHCND:USS0046Q02S,"LITTLE CHENA RIDGE, AK US",2021-07-19,1981-09-30,65.12,609.6,-146.73,0.9869,METERS
US,GHCND:USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-07-20,1930-01-01,33.6301,307.8,-84.4418,1.0,METERS
US,GHCND:USR0000AALC,"ALCAN HIGHWAY MI 1244 ALASKA, AK US",2021-07-20,1990-06-18,62.8167,548.6,-141.4667,0.8335,METERS
US,GHCND:USC00500363,"ANNEX CREEK, AK US",2021-07-19,1917-01-01,58.3183,28.0,-134.1003,0.8306,METERS
US,GHCND:USC00509869,"WISEMAN, AK US",2021-07-20,1918-11-01,67.40822,360.0,-150.10958,0.3586,METERS
US,GHCND:USS0016G01S,"SOUTH MOUNTAIN, ID US",2021-07-19,1978-09-30,42.76,1981.2,-116.9,0.9697,METERS
US,GHCND:USC00241905,"COLSTRIP, MT US",2021-07-19,1927-03-01,45.8944,980.8,-106.6336,0.9685,METERS
US,GHCND:USR0000MBLU,"BLUFF CREEK MONTANA, MT US",2021-07-20,1985-01-09,48.8719,777.2,-106.9456,0.9903,METERS
US,GHCND:USR0000UPRC,"UPPER P.R. CANYON UTAH, UT US",2021-07-20,1983-06-22,39.4678,2499.4,-109.2836,0.9878,METERS
US,GHCND:CA001200560,"ATLIN, CA",2021-06-30,1899-03-01,59.5667,674.0,-133.7,0.7702,METERS
US,GHCND:USC00503504,"HAINES 40 NW, AK CA",2021-07-20,1989-09-01,59.4503,249.9,-136.3615,0.9763,METERS
US,GHCND:USC00247425,"SCOBEY 4 NW, MT US",2021-07-19,1987-06-01,48.83549,728.5,-105.4748,0.968,METERS
US,GHCND:CA005031320,"INDIAN BAY, CA",2021-07-19,1915-04-01,49.6167,327.0,-95.2,0.9764,METERS
US,GHCND:CA006020559,"BARWICK, MN US",2021-07-19,1978-12-01,48.6333,335.0,-93.9667,0.9483,METERS
US,GHCND:USC00274556,"LANCASTER, NH US",2021-07-20,1892-10-01,44.49576,262.1,-71.57668,0.6778,METERS
US,GHCND:CA001054500,"LANGARA, CA",2021-07-19,1936-07-23,54.25,43.0,-133.05,0.9913,METERS
US,GHCND:CA005022125,"PILOT MOUND AUT, CA",2021-07-19,1957-12-01,49.1833,470.0,-98.9,0.8496,METERS
US,GHCND:USC00018637,"WALLACE 2 E, AL US",2020-09-18,1941-05-01,31.2099,62.5,-87.1788,0.9657,METERS
US,GHCND:USW00013838,"MOBILE DOWNTOWN AIRPORT, AL US",2021-07-19,1948-03-09,30.62639,7.9,-88.06806,0.5884,METERS
US,GHCND:USW00093842,"COLUMBUS METROPOLITAN AIRPORT, GA US",2021-07-19,1948-01-01,32.5161,119.5,-84.9422,1.0,METERS
US,GHCND:USC00013251,"GENEVA NUMBER 2, AL US",2021-07-20,1976-05-01,31.03833,44.2,-85.87083,0.9936,METERS
US,GHCND:USC00013519,"GREENVILLE, AL US",2021-05-31,1900-09-15,31.7901,104.2,-86.6087,0.9602,METERS
US,GHCND:USC00013761,"HEADLAND, AL US",2021-06-18,1950-04-01,31.3625,112.8,-85.3397,0.9331,METERS
US,GHCND:USC00014193,"JACKSON, AL US",2021-07-20,1961-10-01,31.5253,67.1,-87.9277,0.8497,METERS
US,GHCND:USC00024761,"LAKE HAVASU CITY, AZ US",2021-07-20,1991-03-01,34.5031,136.9,-114.3604,0.9584,METERS
US,GHCND:USC00046154,"NEW CUYAMA FIRE STATION, CA US",2021-07-18,1974-01-01,34.9455,658.4,-119.6827,0.9291,METERS
US,GHCND:USC00046197,"NILAND, CA US",2020-10-31,1914-09-01,33.2775,-18.3,-115.5239,0.6949,METERS
US,GHCND:USC00048045,"SCOTIA, CA US",2021-07-19,1926-01-01,40.4833,41.5,-124.1038,0.9893,METERS
