id,name,maxdate,mindate,latitude,elevation,longitude,datacoverage,elevationUnit
GHCND:ASN00009021,"PERTH AIRPORT, AS",2021-07-20,1944-05-01,-31.9275,15.4,115.9764,1,METERS
GHCND:USS0007E12S,"SUCKER CREEK, WY US",2021-07-19,1978-09-30,44.72,2706.6,-107.4,1,METERS
GHCND:ASN00014015,"DARWIN AIRPORT, AS",2021-07-20,1941-01-01,-12.4239,30.4,130.8925,1,METERS
GHCND:USS0008M07S,"LONE CONE, CO US",2021-07-19,1980-07-19,37.89,2926.1,-108.2,1,METERS
GHCND:USS0010C06S,"SPUR PARK, MT US",2021-07-19,1966-09-30,46.78,2468.9,-110.62,1,METERS
GHCND:USS0010D16S,"SHOWER FALLS, MT US",2021-07-19,1965-09-30,45.4,2468.9,-110.96,1,METERS
GHCND:USS0011H08S,"BEN LOMOND PEAK, UT US",2021-07-19,1978-09-30,41.38,2438.4,-111.94,1,METERS
GHCND:USS0011J01S,"CHALK CREEK NUMBER 1, UT US",2021-07-19,1978-09-30,40.85,2741.1,-111.05,1,METERS
GHCND:USS0018D20S,"BOWMAN SPRINGS, OR US",2021-07-19,1978-09-30,45.36,1380.7,-118.47,1,METERS
GHCND:USW00013733,"LYNCHBURG REGIONAL AIRPORT, VA US",2021-07-20,1944-08-01,37.32126,286.5,-79.20656,1,METERS
GHCND:USW00013899,"PENSACOLA REGIONAL AIRPORT, FL US",2021-07-19,1948-07-01,30.4781,34.1,-87.1869,1,METERS
GHCND:USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",2021-07-20,1938-05-01,43.1111,125.9,-76.1038,1,METERS
GHCND:USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2021-07-20,1939-10-01,43.1405,264.0,-89.3452,1,METERS
GHCND:USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",2021-07-20,1948-01-01,41.1213,846.7,-100.6694,1,METERS
GHCND:DA000021100,"VESTERVIG, DA",2020-12-31,1873-12-31,56.7667,18.0,8.3167,1,METERS
GHCND:BKM00014654,"SARAJEVO, BK",2021-07-19,1901-01-01,43.8678,630.0,18.4228,1,METERS
GHCND:ASN00086282,"MELBOURNE AIRPORT, AS",2021-07-20,1970-07-01,-37.6655,113.4,144.8321,1,METERS
GHCND:USS0013C13S,"BLACK PINE, MT US",2021-07-19,1965-09-30,46.41,2197.6,-113.43,1,METERS
GHCND:USS0019L24S,"HEAVENLY VALLEY, CA US",2021-07-19,1978-09-30,38.92,2615.8,-119.92,1,METERS
GHCND:USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-07-20,1930-01-01,33.6301,307.8,-84.4418,1,METERS
GHCND:USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",2021-07-20,1938-04-09,44.8831,265.8,-93.2289,1,METERS
GHCND:DAE00100416,"STORE JYNDEVAD, DA",2020-12-31,1987-06-30,54.9,16.0,9.1331,1,METERS
GHCND:ENE00175075,"VAIKE MAARJA, EN",2021-04-30,1962-07-31,59.1414,121.0,26.2306,1,METERS
GHCND:FIE00142025,HANKO TVARMINNE,2021-05-31,1963-01-01,59.8439,3.0,23.2517,1,METERS
GHCND:FIE00142526,"KOKEMAKI PEIPOHJA HYRKOLA, FI",2021-05-31,1959-01-01,61.2706,37.0,22.2519,1,METERS
GHCND:FIE00142816,"HAMEENLINNA PIRTTIKOSKI, FI",2021-05-31,1966-04-01,61.0064,129.0,23.9231,1,METERS
